,Symbol,Company name,Last price,Change,% change,Volume
0,MARUTI.NS,Maruti Suzuki India Limited,7113.55,-0.2,-0.00%,838262.0
1,WIPRO.NS,Wipro Limited,410.5,0.35,+0.09%,16873298.0
2,BAJAJFINSV.NS,Bajaj Finserv Ltd.,9440.65,10.5,+0.11%,488097.0
3,TITAN.NS,Titan Company Limited,1465.45,-2.75,-0.19%,2360570.0
4,KOTAKBANK.NS,Kotak Mahindra Bank Limited,1834.15,3.75,+0.20%,4801994.0
5,ONGC.NS,Oil and Natural Gas Corporation Limited,110.5,0.3,+0.27%,50381242.0
6,HEROMOTOCO.NS,Hero MotoCorp Limited,3119.15,11.95,+0.38%,1554345.0
7,BAJAJ-AUTO.NS,Bajaj Auto Limited,3650.05,-14.45,-0.39%,1132600.0
8,TCS.NS,Tata Consultancy Services Limited,3050.2,13.7,+0.45%,5771920.0
9,BHARTIARTL.NS,Bharti Airtel Limited,529.95,2.75,+0.52%,48679449.0
10,COALINDIA.NS,Coal India Limited,136.3,-0.75,-0.55%,33282359.0
11,MM.NS,MM.NS,,,,
12,TECHM.NS,Tech Mahindra Limited,989.45,-6.75,-0.68%,6207447.0
13,CIPLA.NS,Cipla Limited,760.65,5.5,+0.73%,5261659.0
14,BRITANNIA.NS,Britannia Industries Limited,3466.6,26.95,+0.78%,1312314.0
15,INDUSINDBK.NS,IndusInd Bank Limited,1011.9,9.1,+0.91%,6836952.0
16,HINDALCO.NS,Hindalco Industries Limited,335.1,3.3,+0.99%,16750169.0
17,HDFCLIFE.NS,HDFC Life Insurance Company Limited,688.45,7.6,+1.12%,3146237.0
18,LT.NS,Larsen & Toubro Limited,1411.25,-16.85,-1.18%,9919450.0
19,SHREECEM.NS,Shree Cement Limited,26936.7,341.2,+1.28%,74110.0
20,ICICIBANK.NS,ICICI Bank Limited,586.65,8.05,+1.39%,29158551.0
21,BAJFINANCE.NS,Bajaj Finance Limited,5453.25,81.4,+1.52%,3220141.0
22,NESTLEIND.NS,Nestlé India Limited,16450.85,249.6,+1.54%,199390.0
23,GRASIM.NS,Grasim Industries Limited,1411.25,23.45,+1.69%,2429262.0
24,ITC.NS,ITC Limited,222.95,5.3,+2.44%,134147172.0
25,ULTRACEMCO.NS,UltraTech Cement Limited,6672.0,161.95,+2.49%,654358.0
26,GAIL.NS,GAIL (India) Limited,138.5,3.4,+2.52%,42263140.0
27,RELIANCE.NS,Reliance Industries Limited,2082.0,72.9,+3.63%,19268113.0
28,TATASTEEL.NS,Tata Steel Limited,733.0,28.15,+3.99%,24632790.0
29,NTPC.NS,NTPC Limited,108.5,4.7,+4.53%,72244872.0
